,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id.1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,game_date_dt,game_month
448,SL,2017-06-21,85.6,-3.5474,5.0513,Max Scherzer,519317,453286,single,hit_into_play_score,,,,,4,"Giancarlo Stanton singles on a line drive to left fielder Ryan Raburn.   J.  T.   Realmuto scores.  Dee Gordon out at home on the throw, left fielder Ryan Raburn to catcher Jose Lobaton.  ",R,R,R,MIA,WSH,X,null,line_drive,2,2,2017,0.7758,0.1399,-0.6059,2.8746,592663.00,543829.00,null,2,8,Bot,75.10,108.79,,,446653,,170621_183913,,,,,,,3.6312,1.6017,279,108.1,11.1800,84.7910,null,5.8040,491185,453286,446653,452252,452220,543685,607208,430605,571718,547180,54.6938,0.836,0.864,0.90,1,1,0,5,57,6,2017-06-21,6
449,CH,2017-06-21,86.0,-3.5535,4.9535,Max Scherzer,519317,453286,null,foul,,,,,11,null,R,R,R,MIA,WSH,S,null,null,2,2,2017,-1.2436,0.7729,-1.4024,2.6300,592663.00,543829.00,null,2,8,Bot,null,null,,,446653,,170621_183840,,,,,,,3.6312,1.6017,null,null,null,85.1610,1617,6.0260,491185,453286,446653,452252,452220,543685,607208,430605,571718,547180,54.4714,0.0,0.0,null,null,null,null,null,57,5,2017-06-21,6
450,FF,2017-06-21,95.0,-3.4496,5.1209,Max Scherzer,519317,453286,null,ball,,,,,11,null,R,R,R,MIA,WSH,B,null,null,1,2,2017,-0.7104,1.1609,-0.6780,5.9553,570632.00,592663.00,543829.00,2,8,Bot,null,null,,,446653,,170621_183745,,,,,,,3.6312,1.7044,null,null,null,94.7110,2530,6.2460,491185,453286,446653,452252,452220,543685,607208,430605,571718,547180,54.2523,0.0,0.0,null,null,null,null,null,57,4,2017-06-21,6
451,SL,2017-06-21,86.8,-3.2084,5.3810,Max Scherzer,519317,453286,null,foul,,,,,6,null,R,R,R,MIA,WSH,S,null,null,1,1,2017,0.4352,0.0996,0.3690,2.6427,570632.00,592663.00,543829.00,2,8,Bot,null,null,,,446653,,170621_183657,,,,,,,3.6312,1.6017,191,68.3,29.2582,85.8020,2367,6.0080,491185,453286,446653,452252,452220,543685,607208,430605,571718,547180,54.4901,0.0,0.0,null,null,null,null,4,57,3,2017-06-21,6
452,FF,2017-06-21,96.0,-3.5136,4.9165,Max Scherzer,519317,453286,null,ball,,,,,6,null,R,R,R,MIA,WSH,B,null,null,0,1,2017,-0.7127,1.4724,0.8038,2.9098,570632.00,592663.00,543829.00,2,8,Bot,null,null,,,446653,,170621_183629,,,,,,,3.6697,1.7557,null,null,null,95.3620,2529,6.2060,491185,453286,446653,452252,452220,543685,607208,430605,571718,547180,54.2919,0.0,0.0,null,null,null,null,null,57,2,2017-06-21,6
453,SL,2017-06-21,86.8,-3.3443,5.6467,Max Scherzer,519317,453286,null,swinging_strike,,,,,9,null,R,R,R,MIA,WSH,S,null,null,0,0,2017,0.4633,0.5187,0.6668,1.9630,570632.00,592663.00,543829.00,2,8,Bot,null,null,,,446653,,170621_183602,,,,,,,3.6312,1.6017,null,null,null,85.3550,2377,5.7880,491185,453286,446653,452252,452220,543685,607208,430605,571718,547180,54.7101,0.0,0.0,null,null,null,null,null,57,1,2017-06-21,6
454,SL,2017-06-21,87.5,-3.5896,4.9948,Max Scherzer,543829,453286,hit_by_pitch,hit_by_pitch,,,,,14,Dee Gordon hit by pitch.    J.  T.   Realmuto to 2nd.  ,R,L,R,MIA,WSH,B,null,null,0,0,2017,0.0756,1.0071,2.0838,0.7947,570632.00,null,592663.00,2,8,Bot,null,null,,,446653,,170621_183500,,,,,,,3.2088,1.2697,null,null,null,86.4520,2325,6.0210,491185,453286,446653,452252,452220,543685,607208,430605,571718,547180,54.4773,0.0,0.0,0.70,1,0,0,null,56,1,2017-06-21,6
455,FF,2017-06-21,95.3,-3.5807,4.8300,Max Scherzer,592663,453286,field_error,hit_into_play_no_out,,,,,9,"J.  T.   Realmuto reaches on a missed catch error by first baseman Adam Lind, assist to shortstop Trea Turner.   Jose Urena to 3rd.  ",R,R,R,MIA,WSH,X,6,ground_ball,2,1,2017,-1.0686,1.1520,0.5411,1.6353,null,570632.00,null,2,8,Bot,109.07,151.26,,,446653,,170621_183328,,,,,,,3.4803,1.4709,88,66.1,8.1310,94.5620,2476,6.1380,491185,453286,446653,452252,452220,543685,607208,430605,571718,547180,54.3596,0.212,0.204,0.00,1,0,0,2,55,4,2017-06-21,6
456,FF,2017-06-21,94.7,-3.4180,4.8114,Max Scherzer,592663,453286,null,foul_tip,,,,,14,null,R,R,R,MIA,WSH,S,null,null,2,0,2017,-0.9254,1.3362,1.1257,2.3211,null,570632.00,null,2,8,Bot,null,null,,,446653,,170621_183248,,,,,,,3.4803,1.4709,null,null,null,93.9920,2500,6.2800,491185,453286,446653,452252,452220,543685,607208,430605,571718,547180,54.2180,0.0,0.0,null,null,null,null,null,55,3,2017-06-21,6
457,SL,2017-06-21,85.8,-3.4868,4.9249,Max Scherzer,592663,453286,null,ball,,,,,11,null,R,R,R,MIA,WSH,B,null,null,1,0,2017,0.1781,0.0739,-1.1071,3.3519,null,570632.00,null,2,8,Bot,null,null,,,446653,,170621_183219,,,,,,,3.6957,1.7121,null,null,null,85.5580,2302,6.1820,491185,453286,446653,452252,452220,543685,607208,430605,571718,547180,54.3154,0.0,0.0,null,null,null,null,null,55,2,2017-06-21,6
